emp_no,dept_no,from_date,to_date
19390,d001,12/2/2014,1/1/9999
11946,d001,11/6/2014,1/1/9999
17576,d001,3/3/2015,1/1/9999
16190,d001,5/28/2015,1/1/9999
19187,d001,7/28/2014,1/1/9999
13708,d001,7/4/2014,1/1/9999
19538,d001,12/7/2014,1/1/9999
12563,d001,1/31/2015,1/1/9999
18838,d001,9/20/2014,1/1/9999
12799,d001,7/2/2014,1/1/9999
16136,d001,2/17/2015,1/1/9999
12030,d001,1/26/2015,1/1/9999
12562,d001,11/30/2014,1/1/9999
15682,d001,2/18/2015,1/1/9999
11345,d001,3/31/2015,1/1/9999
19374,d001,6/21/2014,1/1/9999
12575,d001,6/30/2014,1/1/9999
13345,d001,6/30/2015,1/1/9999
17632,d001,6/6/2015,1/1/9999
14270,d001,1/10/2015,1/1/9999
17218,d001,2/12/2015,1/1/9999
11792,d001,11/29/2014,1/1/9999
11066,d001,7/22/2014,1/1/9999
14443,d001,12/14/2014,1/1/9999
19883,d001,6/16/2015,1/1/9999
10387,d001,2/3/2015,1/1/9999
16613,d001,1/13/2015,1/1/9999
18326,d001,6/20/2015,1/1/9999
12879,d002,9/3/2014,1/1/9999
12882,d002,7/1/2014,1/1/9999
15484,d002,1/1/2015,1/1/9999
13631,d002,4/22/2015,1/1/9999
10391,d002,4/2/2015,1/1/9999
17895,d002,11/5/2014,1/1/9999
10246,d002,1/19/2015,1/1/9999
18121,d002,10/22/2014,1/1/9999
14196,d002,2/27/2015,1/1/9999
18682,d002,1/27/2015,1/1/9999
17549,d002,6/9/2014,1/1/9999
15799,d002,11/9/2014,1/1/9999
19099,d002,11/30/2014,1/1/9999
14149,d002,10/15/2014,1/1/9999
14268,d002,11/16/2014,1/1/9999
18099,d002,2/21/2015,1/1/9999
10726,d002,5/12/2015,1/1/9999
11524,d002,6/9/2014,1/1/9999
15895,d002,4/5/2015,1/1/9999
12105,d002,7/6/2014,1/1/9999
12092,d002,5/11/2015,1/1/9999
13840,d002,6/18/2015,1/1/9999
17211,d002,5/4/2015,1/1/9999
12887,d002,11/3/2014,1/1/9999
10676,d002,9/16/2014,1/1/9999
13507,d002,6/17/2015,1/1/9999
17156,d002,11/29/2014,1/1/9999
17296,d002,11/26/2014,1/1/9999
18389,d003,6/8/2014,1/1/9999
16708,d003,1/2/2015,1/1/9999
18527,d003,10/9/2014,1/1/9999
19393,d003,10/23/2014,1/1/9999
18547,d003,7/1/2015,1/1/9999
12021,d003,6/11/2015,1/1/9999
18764,d003,6/10/2015,1/1/9999
10836,d003,4/7/2015,1/1/9999
18859,d003,5/10/2015,1/1/9999
19231,d003,9/3/2014,1/1/9999
15154,d003,10/25/2014,1/1/9999
18088,d003,2/28/2015,1/1/9999
17065,d003,6/25/2015,1/1/9999
16182,d003,9/18/2014,1/1/9999
19819,d003,3/26/2015,1/1/9999
18147,d003,9/4/2014,1/1/9999
11941,d003,2/13/2015,1/1/9999
15909,d003,3/7/2015,1/1/9999
14381,d003,8/28/2014,1/1/9999
16430,d003,1/7/2015,1/1/9999
13302,d003,11/11/2014,1/1/9999
11836,d003,12/31/2014,1/1/9999
15432,d003,4/25/2015,1/1/9999
16941,d003,11/11/2014,1/1/9999
10287,d003,12/3/2014,1/1/9999
13589,d003,5/18/2015,1/1/9999
19351,d003,1/4/2015,1/1/9999
18987,d003,6/14/2014,1/1/9999
18032,d004,1/15/2015,1/1/9999
19366,d004,1/5/2015,1/1/9999
17105,d004,4/21/2015,1/1/9999
19476,d004,1/6/2015,1/1/9999
17634,d004,12/5/2014,1/1/9999
19964,d004,5/24/2015,1/1/9999
16396,d004,8/10/2014,1/1/9999
19562,d004,8/9/2014,1/1/9999
13854,d004,7/23/2014,1/1/9999
14377,d004,8/24/2014,1/1/9999
15491,d004,8/16/2014,1/1/9999
12229,d004,4/5/2015,1/1/9999
15147,d004,3/20/2015,1/1/9999
10381,d004,12/6/2014,1/1/9999
16773,d004,6/6/2015,1/1/9999
14315,d004,12/10/2014,1/1/9999
13694,d004,8/18/2014,1/1/9999
16530,d004,9/16/2014,1/1/9999
11255,d004,6/18/2014,1/1/9999
14499,d004,12/5/2014,1/1/9999
17030,d004,11/23/2014,1/1/9999
13530,d004,5/24/2015,1/1/9999
15548,d004,9/6/2014,1/1/9999
14213,d004,7/16/2014,1/1/9999
10358,d004,5/28/2015,1/1/9999
19886,d004,12/11/2014,1/1/9999
18111,d004,6/18/2015,1/1/9999
14496,d004,7/2/2014,1/1/9999
15125,d005,10/27/2014,1/1/9999
12510,d005,5/13/2015,1/1/9999
16064,d005,4/28/2015,1/1/9999
17887,d005,3/26/2015,1/1/9999
10518,d005,4/27/2015,1/1/9999
15436,d005,5/16/2015,1/1/9999
19371,d005,2/25/2015,1/1/9999
16316,d005,1/26/2015,1/1/9999
11973,d005,9/1/2014,1/1/9999
17524,d005,3/28/2015,1/1/9999
18883,d005,10/1/2014,1/1/9999
18562,d005,5/28/2015,1/1/9999
10724,d005,6/5/2015,1/1/9999
17535,d005,10/16/2014,1/1/9999
16082,d005,8/31/2014,1/1/9999
15932,d005,7/31/2014,1/1/9999
11634,d005,5/21/2015,1/1/9999
12082,d005,9/2/2014,1/1/9999
19711,d005,4/21/2015,1/1/9999
19436,d005,9/17/2014,1/1/9999
18899,d005,5/23/2015,1/1/9999
16184,d005,1/29/2015,1/1/9999
10827,d005,5/6/2015,1/1/9999
17688,d005,11/7/2014,1/1/9999
15809,d005,7/24/2014,1/1/9999
12752,d005,5/29/2015,1/1/9999
16713,d005,7/10/2014,1/1/9999
19681,d005,4/21/2015,1/1/9999
11144,d006,12/20/2014,1/1/9999
11796,d006,1/26/2015,1/1/9999
10803,d006,11/29/2014,1/1/9999
11041,d006,12/16/2014,1/1/9999
11017,d006,11/23/2014,1/1/9999
14317,d006,12/11/2014,1/1/9999
14517,d006,1/31/2015,1/1/9999
16417,d006,5/22/2015,1/1/9999
16173,d006,10/10/2014,1/1/9999
18581,d006,3/24/2015,1/1/9999
17760,d006,6/17/2015,1/1/9999
17793,d006,12/12/2014,1/1/9999
11739,d006,1/10/2015,1/1/9999
19749,d006,4/9/2015,1/1/9999
13065,d006,4/28/2015,1/1/9999
18912,d006,12/29/2014,1/1/9999
11753,d006,6/22/2014,1/1/9999
10465,d006,6/30/2014,1/1/9999
10038,d006,12/18/2014,1/1/9999
17411,d006,6/28/2014,1/1/9999
12534,d006,12/13/2014,1/1/9999
17630,d006,8/2/2014,1/1/9999
13428,d006,8/4/2014,1/1/9999
16987,d006,1/27/2015,1/1/9999
10992,d006,4/29/2015,1/1/9999
10214,d006,6/26/2015,1/1/9999
11333,d006,12/22/2014,1/1/9999
15362,d006,12/17/2014,1/1/9999
11793,d007,6/11/2015,1/1/9999
15531,d007,2/4/2015,1/1/9999
13304,d007,4/2/2015,1/1/9999
11608,d007,9/16/2014,1/1/9999
15094,d007,9/16/2014,1/1/9999
10983,d007,2/10/2015,1/1/9999
10868,d007,10/25/2014,1/1/9999
16006,d007,7/28/2014,1/1/9999
11990,d007,11/15/2014,1/1/9999
19567,d007,10/20/2014,1/1/9999
11134,d007,5/16/2015,1/1/9999
14244,d007,5/21/2015,1/1/9999
17290,d007,4/16/2015,1/1/9999
16149,d007,10/28/2014,1/1/9999
15433,d007,8/21/2014,1/1/9999
16705,d007,3/25/2015,1/1/9999
11790,d007,2/10/2015,1/1/9999
10765,d007,7/1/2014,1/1/9999
17586,d007,9/13/2014,1/1/9999
11738,d007,8/7/2014,1/1/9999
11458,d007,9/17/2014,1/1/9999
16510,d007,9/14/2014,1/1/9999
16208,d007,2/23/2015,1/1/9999
10180,d007,1/13/2015,1/1/9999
17723,d007,4/1/2015,1/1/9999
15599,d007,5/5/2015,1/1/9999
14795,d007,12/31/2014,1/1/9999
15452,d007,9/7/2014,1/1/9999
12342,d008,10/11/2014,1/1/9999
14463,d008,1/5/2015,1/1/9999
18308,d008,3/8/2015,1/1/9999
18678,d008,3/19/2015,1/1/9999
13267,d008,7/16/2014,1/1/9999
11932,d008,4/10/2015,1/1/9999
10292,d008,6/6/2015,1/1/9999
15473,d008,4/2/2015,1/1/9999
17854,d008,2/20/2015,1/1/9999
17872,d008,8/24/2014,1/1/9999
13928,d008,2/16/2015,1/1/9999
14150,d008,8/25/2014,1/1/9999
16958,d008,5/24/2015,1/1/9999
18733,d008,3/27/2015,1/1/9999
15999,d008,6/6/2014,1/1/9999
11922,d008,5/8/2015,1/1/9999
10053,d008,5/28/2015,1/1/9999
18894,d008,10/11/2014,1/1/9999
13187,d008,1/19/2015,1/1/9999
11898,d008,3/4/2015,1/1/9999
18746,d008,11/28/2014,1/1/9999
12801,d008,3/27/2015,1/1/9999
18980,d008,12/9/2014,1/1/9999
12950,d008,6/17/2014,1/1/9999
19624,d008,8/22/2014,1/1/9999
18313,d008,5/6/2015,1/1/9999
10864,d008,3/9/2015,1/1/9999
14953,d008,7/18/2014,1/1/9999
14660,d002,12/7/1998,1/1/9999
16956,d005,10/4/2000,1/1/9999
14664,d008,1/14/1999,1/1/9999
10330,d007,3/19/2001,1/1/9999
