emp_no,salary,from_date,to_date
17976,33757,10/30/2011,06/05/2015
17976,39741,6/5/2015,01/25/2017
17976,41864.51,1/25/2017,01/01/9999
14999,35020,10/2/2012,09/19/2015
14999,39586,9/19/2015,11/01/2016
14999,41709.51,11/1/2016,01/01/9999
15371,30281,6/11/2013,02/21/2015
15371,39344,2/21/2015,07/22/2017
15371,41467.51,7/22/2017,01/01/9999
17061,34527,6/8/2010,12/22/2015
17061,40608,12/22/2015,08/13/2017
17061,42731.51,8/13/2017,01/01/9999
18556,34011,11/22/2012,03/09/2015
18556,41978,3/9/2015,03/19/2017
18556,44101.51,3/19/2017,01/01/9999
15619,26959,2/24/2013,05/12/2015
15619,40923,5/12/2015,12/26/2016
15619,43046.51,12/26/2016,01/01/9999
17193,35796,8/25/2010,05/23/2015
17193,40366,5/23/2015,12/27/2016
17193,42489.51,12/27/2016,01/01/9999
15064,34136,9/6/2013,07/05/2015
15064,41443,7/5/2015,03/04/2017
15064,43566.51,3/4/2017,01/01/9999
14159,29094,10/13/2011,02/21/2015
14159,40963,2/21/2015,11/06/2016
14159,43086.51,11/6/2016,01/01/9999
14635,25339,2/8/2010,01/13/2015
14635,40205,1/13/2015,05/09/2017
14635,42328.51,5/9/2017,01/01/9999
15710,25398,7/20/2011,05/06/2015
15710,39972,5/6/2015,06/03/2017
15710,42095.51,6/3/2017,01/01/9999
16637,27090,2/7/2012,12/31/2015
16637,41348,12/31/2015,06/26/2017
16637,43471.51,6/26/2017,01/01/9999
19409,32688,3/24/2012,03/07/2015
19409,40507,3/7/2015,01/22/2017
19409,42630.51,1/22/2017,01/01/9999
14198,28333,7/12/2012,02/23/2015
14198,39874,2/23/2015,05/29/2017
14198,41997.51,5/29/2017,01/01/9999
11756,35403,6/8/2013,03/26/2015
11756,40132,3/26/2015,04/27/2017
11756,42255.51,4/27/2017,01/01/9999
17541,29418,6/1/2012,04/20/2015
17541,39837,4/20/2015,10/02/2017
17541,41960.51,10/2/2017,01/01/9999
16056,30424,11/24/2009,08/17/2015
16056,40043,8/17/2015,11/14/2016
16056,42166.51,11/14/2016,01/01/9999
15499,31477,9/3/2013,08/07/2015
15499,40970,8/7/2015,06/23/2017
15499,43093.51,6/23/2017,01/01/9999
19183,28735,1/10/2010,05/26/2015
19183,41941,5/26/2015,06/08/2017
19183,44064.51,6/8/2017,01/01/9999
16370,28707,2/1/2014,02/02/2015
16370,40440,2/2/2015,08/14/2017
16370,42563.51,8/14/2017,01/01/9999
12759,30615,11/19/2013,01/06/2015
12759,39544,1/6/2015,07/20/2017
12759,41667.51,7/20/2017,01/01/9999
19124,33970,9/16/2013,10/18/2015
19124,40395,10/18/2015,11/27/2016
19124,42518.51,11/27/2016,01/01/9999
18481,35014,2/2/2011,08/19/2015
18481,39969,8/19/2015,11/25/2016
18481,42092.51,11/25/2016,01/01/9999
11737,26705,9/16/2012,06/02/2015
11737,39824,6/2/2015,09/03/2017
11737,41947.51,9/3/2017,01/01/9999
18075,35458,11/24/2012,04/23/2015
18075,41896,4/23/2015,03/26/2017
18075,44019.51,3/26/2017,01/01/9999
10016,26717,3/21/2010,04/21/2015
10016,41860,4/21/2015,04/23/2017
10016,43983.51,4/23/2017,01/01/9999
19428,33284,5/11/2013,02/15/2015
19428,41007,2/15/2015,09/27/2017
19428,43130.51,9/27/2017,01/01/9999
12953,28739,9/19/2013,06/23/2015
12953,40365,6/23/2015,10/23/2016
12953,42488.51,10/23/2016,01/01/9999
12595,31540,8/25/2011,09/08/2015
12595,41243,9/8/2015,06/30/2017
12595,43366.51,6/30/2017,01/01/9999
17380,26864,4/2/2010,01/07/2015
17380,41601,1/7/2015,09/04/2017
17380,43724.51,9/4/2017,01/01/9999
13075,50000,1/19/2012,09/01/2015
13075,53985,9/1/2015,12/04/2016
13075,56108.51,12/4/2016,01/01/9999
12996,50000,7/9/2013,08/16/2015
12996,54808,8/16/2015,05/02/2017
12996,56931.51,5/2/2017,01/01/9999
18252,50000,9/3/2009,03/09/2015
18252,54514,3/9/2015,09/14/2017
18252,56637.51,9/14/2017,01/01/9999
17820,50000,5/14/2010,11/27/2015
17820,52316,11/27/2015,06/23/2017
17820,54439.51,6/23/2017,01/01/9999
19271,50000,9/17/2009,04/17/2015
19271,53636,4/17/2015,02/27/2017
19271,55759.51,2/27/2017,01/01/9999
10488,50000,7/20/2010,12/15/2015
10488,54342,12/15/2015,04/30/2017
10488,56465.51,4/30/2017,01/01/9999
13216,77839,3/22/2012,11/25/2015
13216,49832,11/25/2015,04/20/2017
13216,51955.51,4/20/2017,01/01/9999
13340,68234,11/8/2013,05/26/2015
13340,48079,5/26/2015,08/10/2017
13340,50202.51,8/10/2017,01/01/9999
18961,50657,9/21/2010,07/05/2015
18961,54651,7/5/2015,05/03/2017
18961,56774.51,5/3/2017,01/01/9999
15356,50000,6/25/2012,10/02/2015
15356,51162,10/2/2015,06/19/2017
15356,53285.51,6/19/2017,01/01/9999
11550,50000,5/24/2009,08/18/2015
11550,54724,8/18/2015,02/24/2017
11550,56847.51,2/24/2017,01/01/9999
11589,50000,8/24/2009,09/06/2015
11589,50000,9/6/2015,01/08/2017
11589,50000,1/8/2017,01/01/9999
13977,114550,7/6/2011,10/14/2015
13977,51762,10/14/2015,12/04/2016
13977,53885.51,12/4/2016,01/01/9999
10359,50000,12/19/2009,11/19/2015
10359,51829,11/19/2015,02/18/2017
10359,53952.51,2/18/2017,01/01/9999
11872,50000,8/5/2009,05/21/2015
11872,50220,5/21/2015,06/29/2017
11872,52343.51,6/29/2017,01/01/9999
14851,50000,4/21/2010,05/21/2015
14851,48458,5/21/2015,01/06/2017
14851,50581.51,1/6/2017,01/01/9999
15539,50000,8/10/2009,10/27/2015
