emp_no,title,from_date,to_date
17976,Entry Level Marketing,10/30/2011,12/6/2014
17976,Marketing Strategist,12/6/2014,1/1/9999
14999,Entry Level Marketing,10/2/2012,9/19/2014
14999,Marketing Strategist,9/19/2014,1/1/9999
15371,Entry Level Marketing,6/11/2013,11/16/2014
15371,Marketing Strategist,11/16/2014,1/1/9999
17061,Entry Level Marketing,6/8/2010,10/21/2014
17061,Marketing Strategist,10/21/2014,1/1/9999
18556,Entry Level Marketing,11/22/2012,3/24/2015
18556,Marketing Strategist,3/24/2015,1/1/9999
15619,Entry Level Marketing,2/24/2013,6/23/2015
15619,Marketing Strategist,6/23/2015,1/1/9999
17193,Entry Level Marketing,8/25/2010,12/27/2014
17193,Marketing Strategist,12/27/2014,1/1/9999
15064,Entry Level Marketing,9/6/2013,7/17/2014
15064,Marketing Strategist,7/17/2014,1/1/9999
14159,Entry Level Marketing,10/13/2011,6/1/2015
14159,Marketing Strategist,6/1/2015,1/1/9999
14635,Entry Level Marketing,2/8/2010,3/2/2015
14635,Marketing Strategist,3/2/2015,1/1/9999
15710,Entry Level Marketing,7/20/2011,10/29/2014
15710,Marketing Strategist,10/29/2014,1/1/9999
16637,Entry Level Marketing,2/7/2012,7/17/2014
16637,Marketing Strategist,7/17/2014,1/1/9999
19409,Entry Level Marketing,3/24/2012,10/9/2014
19409,Marketing Strategist,10/9/2014,1/1/9999
14198,Entry Level Marketing,7/12/2012,9/22/2014
14198,Marketing Strategist,9/22/2014,1/1/9999
11756,Entry Level Marketing,6/8/2013,6/12/2014
11756,Marketing Strategist,6/12/2014,1/1/9999
17541,Entry Level Marketing,6/1/2012,3/12/2015
17541,Marketing Strategist,3/12/2015,1/1/9999
16056,Entry Level Marketing,11/24/2009,5/13/2015
16056,Marketing Strategist,5/13/2015,1/1/9999
15499,Entry Level Marketing,9/3/2013,11/23/2014
15499,Marketing Strategist,11/23/2014,1/1/9999
19183,Entry Level Marketing,1/10/2010,8/2/2014
19183,Marketing Strategist,8/2/2014,1/1/9999
16370,Entry Level Marketing,2/1/2014,7/15/2014
16370,Marketing Strategist,7/15/2014,1/1/9999
12759,Entry Level Marketing,11/19/2013,7/18/2014
12759,Marketing Strategist,7/18/2014,1/1/9999
19124,Entry Level Marketing,9/16/2013,8/21/2014
19124,Marketing Strategist,8/21/2014,1/1/9999
18481,Entry Level Marketing,2/2/2011,1/15/2015
18481,Marketing Strategist,1/15/2015,1/1/9999
11737,Entry Level Marketing,9/16/2012,8/30/2014
11737,Marketing Strategist,8/30/2014,1/1/9999
18075,Entry Level Marketing,11/24/2012,5/19/2015
18075,Marketing Strategist,5/19/2015,1/1/9999
10016,Entry Level Marketing,3/21/2010,10/17/2014
10016,Marketing Strategist,10/17/2014,1/1/9999
19428,Entry Level Marketing,5/11/2013,3/20/2015
19428,Marketing Strategist,3/20/2015,1/1/9999
12953,Entry Level Marketing,9/19/2013,10/10/2014
12953,Marketing Strategist,10/10/2014,1/1/9999
12595,Entry Level Marketing,8/25/2011,10/24/2014
12595,Marketing Strategist,10/24/2014,1/1/9999
17380,Entry Level Marketing,4/2/2010,8/24/2014
17380,Marketing Strategist,8/24/2014,1/1/9999
13075,Entry Level Marketing,1/19/2012,2/4/2015
13075,Marketing Strategist,2/4/2015,1/1/9999
12996,Entry Level Marketing,7/9/2013,4/7/2015
12996,Marketing Strategist,4/7/2015,1/1/9999
18252,Entry Level Marketing,9/3/2009,12/12/2014
18252,Marketing Strategist,12/12/2014,1/1/9999
17820,Financial Analyst,5/14/2010,2/9/2015
17820,Finnancial Accountant,2/9/2015,1/1/9999
19271,Financial Analyst,9/17/2009,3/9/2015
19271,Finnancial Accountant,3/9/2015,1/1/9999
10488,Financial Analyst,7/20/2010,6/24/2014
10488,Finnancial Accountant,6/24/2014,1/1/9999
13216,Financial Analyst,3/22/2012,2/16/2015
13216,Finnancial Accountant,2/16/2015,1/1/9999
13340,Financial Analyst,11/8/2013,5/29/2015
13340,Finnancial Accountant,5/29/2015,1/1/9999
18961,Financial Analyst,9/21/2010,9/17/2014
18961,Finnancial Accountant,9/17/2014,1/1/9999
15356,Financial Analyst,6/25/2012,11/27/2014
15356,Finnancial Accountant,11/27/2014,1/1/9999
11550,Financial Analyst,5/24/2009,12/21/2014
11550,Finnancial Accountant,12/21/2014,1/1/9999
11589,Financial Analyst,8/24/2009,5/26/2015
11589,Finnancial Accountant,5/26/2015,1/1/9999
13977,Financial Analyst,7/6/2011,8/7/2014
13977,Finnancial Accountant,8/7/2014,1/1/9999
10359,Financial Analyst,12/19/2009,1/20/2015
10359,Finnancial Accountant,1/20/2015,1/1/9999
11872,Financial Analyst,8/5/2009,7/6/2015
11872,Finnancial Accountant,7/6/2015,1/1/9999
14851,Financial Analyst,4/21/2010,8/22/2014
14851,Finnancial Accountant,8/22/2014,1/1/9999
15539,Financial Analyst,8/10/2009,7/27/2014
15539,Finnancial Accountant,7/27/2014,1/1/9999
16000,Financial Analyst,2/9/2013,9/2/2014
16000,Finnancial Accountant,9/2/2014,1/1/9999
