emp_no,title,from_date,to_date
19390,Entry Level Marketing,12/12/1999,06/14/2003
19390,Marketing Strategist,06/14/2003,08/05/2009
19390,Brand Ambassador,08/05/2009,03/23/2015
19390,Communications Manager,03/23/2015,01/01/9999
11946,Entry Level Marketing,01/01/1999,04/30/2004
11946,Marketing Strategist,04/30/2004,12/08/2009
11946,Brand Ambassador,12/08/2009,09/11/2014
11946,Communications Manager,09/11/2014,01/01/9999
17576,Entry Level Marketing,11/07/2002,09/29/2003
17576,Marketing Strategist,09/29/2003,03/30/2010
17576,Brand Ambassador,03/30/2010,06/16/2014
17576,Communications Manager,06/16/2014,01/01/9999
16190,Entry Level Marketing,03/09/2002,2/26/2004
16190,Marketing Strategist,02/26/2004,02/25/2010
16190,Brand Ambassador,02/25/2010,05/18/2015
16190,Communications Manager,05/18/2015,01/01/9999
19187,Entry Level Marketing,10/07/1998,11/11/2003
19187,Marketing Strategist,11/11/2003,02/18/2010
19187,Brand Ambassador,02/18/2010,08/02/2014
19187,Communications Manager,08/02/2014,01/01/9999
13708,Entry Level Marketing,11/23/1998,06/06/2003
13708,Marketing Strategist,06/06/2003,02/05/2010
13708,Brand Ambassador,02/05/2010,11/19/2014
13708,Communications Manager,11/19/2014,01/01/9999
19538,Entry Level Marketing,01/05/1999,01/30/2004
19538,Marketing Strategist,01/30/2004,09/05/2009
19538,Brand Ambassador,09/05/2009,12/20/2014
19538,Communications Manager,12/20/2014,01/01/9999
12563,Entry Level Marketing,02/10/2000,11/02/2003
12563,Marketing Strategist,11/02/2003,10/17/2009
12563,Brand Ambassador,10/17/2009,11/19/2014
12563,Communications Manager,11/19/2014,01/01/9999
18838,Entry Level Marketing,10/24/1999,09/13/2003
18838,Marketing Strategist,09/13/2003,03/30/2010
18838,Brand Ambassador,03/30/2010,12/14/2014
18838,Communications Manager,12/14/2014,01/01/9999
12799,Entry Level Marketing,07/22/2001,09/03/2003
12799,Marketing Strategist,09/03/2003,03/19/2010
12799,Brand Ambassador,03/19/2010,09/23/2014
12799,Communications Manager,09/23/2014,01/01/9999
16136,Entry Level Marketing,01/21/2003,06/07/2004
16136,Marketing Strategist,06/07/2004,10/18/2009
16136,Brand Ambassador,10/18/2009,06/22/2015
16136,Communications Manager,06/22/2015,01/01/9999
12030,Entry Level Marketing,05/04/2000,06/17/2003
12030,Marketing Strategist,06/17/2003,02/04/2010
12030,Brand Ambassador,02/04/2010,11/16/2014
12030,Communications Manager,11/16/2014,01/01/9999
12562,Entry Level Marketing,11/02/1998,09/22/2003
12562,Marketing Strategist,09/22/2003,08/15/2009
12562,Brand Ambassador,08/15/2009,06/20/2014
12562,Communications Manager,06/20/2014,01/01/9999
15682,Entry Level Marketing,05/03/2001,11/29/2003
15682,Marketing Strategist,11/29/2003,07/27/2009
15682,Brand Ambassador,07/27/2009,08/06/2014
15682,Communications Manager,08/06/2014,01/01/9999
11345,Entry Level Marketing,11/08/2002,12/22/2003
11345,Marketing Strategist,12/22/2003,01/27/2010
11345,Brand Ambassador,01/27/2010,09/15/2014
11345,Communications Manager,09/15/2014,01/01/9999
19374,Entry Level Marketing,02/06/2002,02/20/2004
19374,Marketing Strategist,02/20/2004,02/02/2010
19374,Brand Ambassador,02/02/2010,10/19/2014
19374,Communications Manager,10/19/2014,01/01/9999
12575,Entry Level Marketing,06/14/2001,05/27/2004
12575,Marketing Strategist,05/27/2004,08/08/2009
12575,Brand Ambassador,08/08/2009,02/02/2015
12575,Communications Manager,02/02/2015,01/01/9999
13345,Entry Level Marketing,06/13/2002,04/29/2004
13345,Marketing Strategist,04/29/2004,04/14/2010
13345,Brand Ambassador,04/14/2010,06/29/2014
13345,Communications Manager,06/29/2014,01/01/9999
17632,Entry Level Marketing,01/26/1999,01/10/2004
17632,Marketing Strategist,01/10/2004,08/04/2009
17632,Brand Ambassador,08/04/2009,08/12/2014
17632,Communications Manager,08/12/2014,01/01/9999
14270,Entry Level Marketing,12/12/2001,11/27/2003
14270,Marketing Strategist,11/27/2003,07/01/2009
14270,Brand Ambassador,07/01/2009,04/12/2015
14270,Communications Manager,04/12/2015,01/01/9999
17218,Entry Level Marketing,04/19/2002,05/17/2004
17218,Marketing Strategist,05/17/2004,01/12/2010
17218,Brand Ambassador,01/12/2010,10/28/2014
17218,Communications Manager,10/28/2014,01/01/9999
11792,Entry Level Marketing,07/29/2001,12/05/2003
11792,Marketing Strategist,12/05/2003,05/08/2010
11792,Brand Ambassador,05/08/2010,03/24/2015
11792,Communications Manager,03/24/2015,01/01/9999
11066,Entry Level Marketing,08/07/2002,12/25/2003
11066,Marketing Strategist,12/25/2003,12/08/2009
11066,Brand Ambassador,12/08/2009,04/30/2015
11066,Communications Manager,04/30/2015,01/01/9999
14443,Entry Level Marketing,01/13/2002,06/24/2003
14443,Marketing Strategist,06/24/2003,12/06/2009
14443,Brand Ambassador,12/06/2009,11/26/2014
14443,Communications Manager,11/26/2014,01/01/9999
19883,Entry Level Marketing,12/31/2001,07/22/2003
19883,Marketing Strategist,07/22/2003,01/02/2010
19883,Brand Ambassador,01/02/2010,05/21/2015
19883,Communications Manager,05/21/2015,01/01/9999
10387,Entry Level Marketing,10/22/2002,12/09/2003
10387,Marketing Strategist,12/09/2003,11/08/2009
10387,Brand Ambassador,11/08/2009,06/21/2015
10387,Communications Manager,06/21/2015,01/01/9999
16613,Entry Level Marketing,05/07/2002,05/14/2004
16613,Marketing Strategist,05/14/2004,10/10/2009
16613,Brand Ambassador,10/10/2009,06/14/2015
16613,Communications Manager,06/14/2015,01/01/9999
18326,Entry Level Marketing,02/17/1999,04/30/2004
18326,Marketing Strategist,04/30/2004,07/01/2010
18326,Brand Ambassador,07/01/2010,06/09/2015
18326,Communications Manager,06/09/2015,01/01/9999
12879,Financial Analyst,11/11/1998,08/03/2003
12879,Finnancial Accountant,08/03/2003,05/03/2010
12879,Senior Accounting,05/03/2010,02/02/2015
12879,Finance Management,02/02/2015,01/01/9999
12882,Financial Analyst,10/31/1998,04/20/2004
12882,Finnancial Accountant,04/20/2004,05/14/2010
12882,Senior Accounting,05/14/2010,08/28/2014
12882,Finance Management,08/28/2014,01/01/9999
15484,Financial Analyst,12/18/2002,05/02/2004
15484,Finnancial Accountant,05/02/2004,01/16/2010
15484,Senior Accounting,01/16/2010,08/13/2014
15484,Finance Management,08/13/2014,01/01/9999
13631,Financial Analyst,08/23/2002,03/15/2004
13631,Finnancial Accountant,03/15/2004,08/03/2009
13631,Senior Accounting,08/03/2009,08/24/2014
13631,Finance Management,08/24/2014,01/01/9999
10391,Financial Analyst,10/10/1999,04/22/2004
10391,Finnancial Accountant,04/22/2004,08/08/2009
10391,Senior Accounting,08/08/2009,05/26/2015
10391,Finance Management,05/26/2015,01/01/9999
17895,Financial Analyst,05/04/1999,09/04/2003
17895,Finnancial Accountant,09/04/2003,11/19/2009
17895,Senior Accounting,11/19/2009,05/22/2015
17895,Finance Management,05/22/2015,01/01/9999
10246,Financial Analyst,11/14/1999,03/01/2004
10246,Finnancial Accountant,03/01/2004,07/24/2009
10246,Senior Accounting,07/24/2009,04/14/2015
10246,Finance Management,04/14/2015,01/01/9999
18121,Financial Analyst,03/20/1999,05/02/2004
18121,Finnancial Accountant,05/02/2004,10/13/2009
18121,Senior Accounting,10/13/2009,06/22/2015
18121,Finance Management,06/22/2015,01/01/9999
14196,Financial Analyst,05/31/2001,02/04/2004
14196,Finnancial Accountant,02/04/2004,02/18/2010
14196,Senior Accounting,02/18/2010,01/14/2015
14196,Finance Management,01/14/2015,01/01/9999
18682,Financial Analyst,12/08/2002,07/12/2003
18682,Finnancial Accountant,07/12/2003,03/29/2010
18682,Senior Accounting,03/29/2010,07/03/2015
18682,Finance Management,07/03/2015,01/01/9999
17549,Financial Analyst,01/06/1999,06/29/2003
17549,Finnancial Accountant,06/29/2003,03/26/2010
17549,Senior Accounting,03/26/2010,06/28/2014
17549,Finance Management,06/28/2014,01/01/9999
15799,Financial Analyst,10/20/2000,09/05/2003
15799,Finnancial Accountant,09/05/2003,03/16/2010
