emp_no,dept_no,from_date,to_date
12168,d001,4/9/2016,1/1/9999
12178,d001,9/7/2017,1/1/9999
19989,d001,11/17/2015,1/1/9999
14275,d001,9/25/2018,1/1/9999
16247,d001,4/9/2017,1/1/9999
16787,d001,4/7/2018,1/1/9999
14320,d001,6/27/2015,1/1/9999
16077,d001,9/30/2016,1/1/9999
19859,d001,7/5/2019,1/1/9999
13971,d001,5/29/2016,1/1/9999
18278,d001,12/11/2015,1/1/9999
14695,d001,9/22/2019,1/1/9999
12228,d001,9/30/2015,1/1/9999
10173,d001,1/13/2017,1/1/9999
11696,d001,2/2/2015,1/1/9999
13576,d001,7/8/2017,1/1/9999
10692,d001,2/26/2017,1/1/9999
10275,d001,5/20/2015,1/1/9999
16155,d001,8/16/2015,1/1/9999
13662,d001,12/14/2015,1/1/9999
19921,d001,2/6/2015,1/1/9999
13546,d001,6/3/2014,1/1/9999
19558,d001,8/21/2015,1/1/9999
15555,d001,7/28/2015,1/1/9999
15230,d001,3/25/2019,1/1/9999
13190,d001,9/23/2017,1/1/9999
18791,d001,12/16/2015,1/1/9999
14801,d001,6/7/2017,1/1/9999
14036,d001,2/9/2017,1/1/9999
19362,d001,7/23/2018,1/1/9999
12193,d001,3/11/2016,1/1/9999
11098,d001,6/30/2015,1/1/9999
14386,d002,5/4/2019,1/1/9999
17168,d002,1/15/2016,1/1/9999
10033,d002,3/17/2015,1/1/9999
13985,d002,7/15/2017,1/1/9999
15780,d002,4/16/2018,1/1/9999
11359,d002,12/26/2014,1/1/9999
15675,d002,5/3/2016,1/1/9999
18809,d002,3/31/2015,1/1/9999
19241,d002,6/21/2017,1/1/9999
15636,d002,5/22/2014,1/1/9999
10019,d002,2/2/2017,1/1/9999
14044,d002,2/25/2015,1/1/9999
17944,d002,11/15/2017,1/1/9999
16395,d002,4/29/2016,1/1/9999
11731,d002,5/19/2019,1/1/9999
12177,d002,2/19/2016,1/1/9999
14628,d002,8/6/2017,1/1/9999
18583,d002,6/2/2014,1/1/9999
15268,d002,10/19/2014,1/1/9999
17108,d002,10/9/2015,1/1/9999
15454,d002,9/13/2019,1/1/9999
13794,d002,7/9/2018,1/1/9999
10787,d002,1/27/2019,1/1/9999
16232,d002,1/24/2015,1/1/9999
15968,d002,5/12/2019,1/1/9999
