emp_no,dept_no,from_date,to_date
11777,d001,5/6/2008,1/1/9999
11892,d001,7/20/2006,1/1/9999
11566,d001,12/7/2008,1/1/9999
10368,d001,11/8/2007,1/1/9999
19735,d001,8/21/2003,1/1/9999
16273,d001,7/7/2006,1/1/9999
16436,d001,12/3/2008,1/1/9999
17559,d001,2/7/2008,1/1/9999
13625,d001,5/17/2003,1/1/9999
10925,d001,1/26/2009,1/1/9999
15530,d001,6/23/2007,1/1/9999
14025,d001,2/12/2009,1/1/9999
18798,d001,3/26/2005,1/1/9999
10284,d001,10/8/2005,1/1/9999
18251,d001,5/11/2005,1/1/9999
18177,d001,10/23/2003,1/1/9999
10273,d001,1/9/2009,1/1/9999
16046,d001,10/10/2006,1/1/9999
17003,d001,10/7/2005,1/1/9999
18280,d001,6/30/2008,1/1/9999
18521,d001,10/10/2003,1/1/9999
14186,d001,11/30/2008,1/1/9999
11338,d001,3/12/2007,1/1/9999
16047,d001,6/2/2004,1/1/9999
12668,d001,5/26/2008,1/1/9999
14341,d001,4/29/2005,1/1/9999
18684,d001,1/20/2004,1/1/9999
14583,d001,5/11/2007,1/1/9999
10103,d001,4/23/2009,1/1/9999
14395,d001,8/3/2003,1/1/9999
13732,d001,2/6/2009,1/1/9999
11075,d001,4/14/2008,1/1/9999
15550,d001,5/2/2008,1/1/9999
10901,d002,7/16/2005,1/1/9999
19463,d002,3/8/2006,1/1/9999
16823,d002,12/7/2005,1/1/9999
14934,d002,7/17/2003,1/1/9999
10861,d002,7/25/2007,1/1/9999
13888,d002,10/22/2004,1/1/9999
17452,d002,5/12/2003,1/1/9999
17676,d002,9/6/2003,1/1/9999
11864,d002,7/23/2008,1/1/9999
10620,d002,2/7/2009,1/1/9999
11149,d002,9/28/2004,1/1/9999
17241,d002,3/7/2007,1/1/9999
19372,d002,10/14/2007,1/1/9999
19114,d002,8/24/2006,1/1/9999
13843,d002,3/20/2009,1/1/9999
14336,d002,2/16/2009,1/1/9999
16426,d002,12/5/2005,1/1/9999
17964,d002,7/8/2006,1/1/9999
15296,d002,3/28/2008,1/1/9999
14792,d002,11/3/2005,1/1/9999
13269,d002,10/20/2004,1/1/9999
18191,d002,9/9/2004,1/1/9999
14035,d002,10/21/2005,1/1/9999
18803,d002,7/9/2003,1/1/9999
14262,d002,11/9/2008,1/1/9999
14294,d002,6/10/2003,1/1/9999
10739,d002,6/28/2004,1/1/9999
13785,d002,12/20/2007,1/1/9999
17103,d002,3/21/2008,1/1/9999
11121,d002,8/4/2006,1/1/9999
12948,d002,6/25/2003,1/1/9999
15194,d002,1/24/2006,1/1/9999
15149,d002,4/30/2005,1/1/9999
17098,d003,9/19/2006,1/1/9999
18507,d003,4/4/2005,1/1/9999
17714,d003,7/26/2003,1/1/9999
18850,d003,11/23/2004,1/1/9999
12009,d003,11/5/2004,1/1/9999
19210,d003,8/3/2004,1/1/9999
11142,d003,9/11/2003,1/1/9999
13657,d003,4/10/2008,1/1/9999
15934,d003,1/30/2006,1/1/9999
18844,d003,5/15/2007,1/1/9999
17121,d003,1/25/2009,1/1/9999
14597,d003,9/6/2005,1/1/9999
17711,d003,1/26/2005,1/1/9999
15767,d003,3/13/2009,1/1/9999
10594,d003,12/9/2004,1/1/9999
13308,d003,12/26/2008,1/1/9999
19113,d003,11/28/2007,1/1/9999
11482,d003,8/23/2008,1/1/9999
12615,d003,2/14/2007,1/1/9999
19913,d003,7/16/2007,1/1/9999
11260,d003,8/30/2006,1/1/9999
10561,d003,4/13/2006,1/1/9999
10204,d003,7/5/2003,1/1/9999
17155,d003,4/26/2009,1/1/9999
12672,d003,3/19/2009,1/1/9999
18893,d003,1/12/2004,1/1/9999
11805,d003,7/7/2006,1/1/9999
19094,d003,8/19/2008,1/1/9999
18976,d003,1/13/2005,1/1/9999
18922,d003,1/15/2007,1/1/9999
13421,d003,3/26/2004,1/1/9999
10412,d003,3/23/2006,1/1/9999
14697,d003,6/16/2008,1/1/9999
13032,d004,3/23/2009,1/1/9999
17757,d004,9/15/2004,1/1/9999
11754,d004,2/25/2009,1/1/9999
10069,d004,2/23/2007,1/1/9999
19464,d004,4/21/2008,1/1/9999
18265,d004,12/30/2007,1/1/9999
10303,d004,11/15/2005,1/1/9999
10406,d004,5/30/2004,1/1/9999
14424,d004,5/28/2005,1/1/9999
13050,d004,6/23/2003,1/1/9999
18862,d004,6/30/2007,1/1/9999
13404,d004,5/12/2003,1/1/9999
13493,d004,3/8/2006,1/1/9999
19908,d004,11/18/2005,1/1/9999
10340,d004,12/7/2006,1/1/9999
10202,d004,4/1/2006,1/1/9999
14490,d004,1/28/2006,1/1/9999
12803,d004,2/16/2006,1/1/9999
10094,d004,6/11/2006,1/1/9999
10604,d004,1/16/2008,1/1/9999
12171,d004,8/17/2003,1/1/9999
18199,d004,9/6/2007,1/1/9999
12602,d004,12/23/2008,1/1/9999
17364,d004,11/27/2004,1/1/9999
12032,d004,9/2/2005,1/1/9999
10211,d004,2/4/2008,1/1/9999
10269,d004,12/30/2006,1/1/9999
10111,d004,12/24/2005,1/1/9999
13975,d004,6/20/2004,1/1/9999
11005,d004,11/15/2008,1/1/9999
14486,d004,9/13/2004,1/1/9999
17014,d004,12/5/2006,1/1/9999
17077,d004,7/27/2005,1/1/9999
15223,d005,8/2/2007,1/1/9999
14251,d005,6/13/2004,1/1/9999
15611,d005,8/6/2008,1/1/9999
16542,d005,5/10/2008,1/1/9999
11641,d005,8/23/2005,1/1/9999
16236,d005,3/4/2009,1/1/9999
19251,d005,8/23/2005,1/1/9999
12380,d005,2/8/2004,1/1/9999
13659,d005,10/27/2007,1/1/9999
18542,d005,8/17/2008,1/1/9999
11343,d005,10/20/2008,1/1/9999
18511,d005,6/11/2007,1/1/9999
15713,d005,12/21/2008,1/1/9999
12078,d005,4/10/2004,1/1/9999
11191,d005,9/3/2008,1/1/9999
17327,d005,1/4/2005,1/1/9999
16939,d005,8/8/2008,1/1/9999
14207,d005,5/16/2008,1/1/9999
17907,d005,4/17/2004,1/1/9999
15492,d005,11/29/2005,1/1/9999
11548,d005,4/17/2004,1/1/9999
18830,d005,6/29/2004,1/1/9999
19818,d005,10/15/2005,1/1/9999
10043,d005,3/14/2007,1/1/9999
19092,d005,8/27/2006,1/1/9999
19491,d005,12/27/2008,1/1/9999
15382,d005,2/4/2009,1/1/9999
16317,d005,11/12/2006,1/1/9999
19831,d005,7/19/2003,1/1/9999
13760,d005,2/5/2006,1/1/9999
16122,d005,6/25/2006,1/1/9999
14574,d005,5/14/2005,1/1/9999
19323,d005,2/26/2008,1/1/9999
10448,d005,5/6/2007,1/1/9999
18505,d006,9/1/2005,1/1/9999
18071,d006,5/30/2008,1/1/9999
10625,d006,2/12/2009,1/1/9999
10318,d006,4/6/2006,1/1/9999
11230,d006,5/9/2008,1/1/9999
15526,d006,8/28/2003,1/1/9999
12320,d006,7/25/2003,1/1/9999
14064,d006,1/15/2007,1/1/9999
17022,d006,4/14/2007,1/1/9999
13944,d006,11/21/2006,1/1/9999
11646,d006,3/9/2004,1/1/9999
16142,d006,8/4/2008,1/1/9999
18417,d006,5/28/2005,1/1/9999
18664,d006,10/9/2007,1/1/9999
19534,d007,3/7/2009,1/1/9999
12969,d006,1/17/2007,1/1/9999
10607,d007,3/20/2007,1/1/9999
14862,d006,1/19/2009,1/1/9999
13389,d006,7/15/2003,1/1/9999
14349,d006,3/11/2004,1/1/9999
16873,d006,7/5/2004,1/1/9999
10200,d006,8/25/2003,1/1/9999
19862,d006,10/8/2003,1/1/9999
15287,d006,9/17/2007,1/1/9999
19391,d006,1/11/2008,1/1/9999
17915,d006,8/25/2008,1/1/9999
12106,d006,5/27/2008,1/1/9999
14411,d006,12/23/2004,1/1/9999
19910,d006,6/19/2008,1/1/9999
17727,d006,9/8/2003,1/1/9999
15019,d006,8/28/2004,1/1/9999
15522,d006,1/5/2009,1/1/9999
14169,d006,10/5/2006,1/1/9999
17482,d006,5/25/2007,1/1/9999
11249,d006,5/25/2007,1/1/9999
12458,d006,5/22/2008,1/1/9999
10511,d006,9/18/2003,1/1/9999
12455,d006,5/22/2006,1/1/9999
17788,d004,6/26/2006,1/1/9999
13876,d004,8/17/2003,1/1/9999
11057,d004,11/5/2004,1/1/9999
13849,d004,6/18/2005,1/1/9999
14894,d004,3/27/2005,1/1/9999
14492,d004,8/23/2008,1/1/9999
13563,d004,6/16/2004,1/1/9999
18479,d004,12/9/2007,1/1/9999
19671,d004,5/15/2004,1/1/9999
15758,d004,11/20/2007,1/1/9999
12153,d008,1/13/2005,1/1/9999
12667,d008,6/26/2007,1/1/9999
13030,d008,3/6/2004,1/1/9999
18886,d008,1/7/2005,1/1/9999
12465,d008,5/20/2004,1/1/9999
11202,d008,1/21/2004,1/1/9999
12551,d008,10/10/2006,1/1/9999
18384,d008,1/17/2008,1/1/9999
16671,d008,5/8/2008,1/1/9999
14399,d008,3/16/2007,1/1/9999
17905,d008,10/8/2005,1/1/9999
12877,d008,7/22/2006,1/1/9999
19948,d008,8/11/2003,1/1/9999
19615,d008,9/24/2008,1/1/9999
11617,d008,7/14/2004,1/1/9999
11828,d008,6/6/2003,1/1/9999
18754,d008,1/1/2006,1/1/9999
19509,d008,1/11/2007,1/1/9999
13603,d008,1/27/2007,1/1/9999
10239,d008,12/12/2005,1/1/9999
11775,d008,12/3/2007,1/1/9999
17134,d008,5/15/2004,1/1/9999
15084,d008,1/24/2004,1/1/9999
14351,d008,1/21/2008,1/1/9999
13343,d005,1/27/2005,1/1/9999
14965,d005,1/14/2007,1/1/9999
14816,d005,9/6/2005,1/1/9999
10538,d005,7/6/2003,1/1/9999
19050,d005,10/6/2005,1/1/9999
19397,d005,10/25/2005,1/1/9999
14820,d005,7/14/2008,1/1/9999
12679,d005,9/11/2004,1/1/9999
18387,d007,1/25/2004,1/1/9999
19035,d007,1/17/2005,1/1/9999
17280,d007,2/3/2006,1/1/9999
14847,d007,2/22/2008,1/1/9999
15446,d007,6/14/2007,1/1/9999
19209,d007,4/25/2004,1/1/9999
11911,d007,6/4/2007,1/1/9999
17181,d007,9/2/2004,1/1/9999
12520,d007,4/23/2007,1/1/9999
11782,d007,8/25/2003,1/1/9999
11094,d007,3/15/2009,1/1/9999
18911,d005,12/24/2008,1/1/9999
16110,d005,8/12/2006,1/1/9999
12870,d005,10/4/2006,1/1/9999
10243,d005,7/3/2004,1/1/9999
19014,d005,10/22/2007,1/1/9999
19999,d005,10/1/2003,1/1/9999
17329,d005,4/20/2009,1/1/9999
19032,d005,3/21/2006,1/1/9999
