emp_no,salary,from_date,to_date
11777,32589,05/06/2008,02/21/2011
11777,38893,02/21/2011,08/19/2013
11777,41436.52,08/19/2013,04/26/2016
11777,43449.73,04/26/2016,01/01/9999
11892,28726,07/20/2006,07/11/2010
11892,39823,07/11/2010,07/01/2013
11892,42366.52,07/01/2013,10/29/2016
11892,44379.73,10/29/2016,01/01/9999
11566,26215,12/07/2008,05/31/2011
11566,39005,05/31/2011,04/12/2013
11566,41548.52,04/12/2013,02/05/2016
11566,43561.73,02/05/2016,01/01/9999
10368,34264,11/08/2007,07/11/2011
10368,38268,07/11/2011,05/13/2013
10368,40811.52,05/13/2013,03/07/2016
10368,42824.73,03/07/2016,01/01/9999
19735,27240,08/21/2003,11/04/2010
19735,40922,11/04/2010,07/22/2013
19735,43465.52,07/22/2013,01/16/2016
19735,45478.73,01/16/2016,01/01/9999
16273,27216,07/07/2006,12/19/2010
16273,38281,12/19/2010,05/07/2013
16273,40824.52,05/07/2013,04/19/2016
16273,42837.73,04/19/2016,01/01/9999
16436,32400,12/03/2008,09/06/2011
16436,39730,09/06/2011,10/07/2013
16436,42273.52,10/07/2013,03/06/2016
16436,44286.73,03/06/2016,01/01/9999
17559,28296,02/07/2008,08/20/2010
17559,39535,08/20/2010,04/28/2013
17559,42078.52,04/28/2013,08/28/2016
17559,44091.73,08/28/2016,01/01/9999
13625,26732,05/17/2003,07/09/2011
13625,39739,07/09/2011,08/06/2013
13625,42282.52,08/06/2013,08/10/2016
13625,44295.73,08/10/2016,01/01/9999
10925,34201,01/26/2009,11/28/2010
10925,36480,11/28/2010,07/17/2013
10925,39023.52,07/17/2013,02/05/2016
10925,41036.73,02/05/2016,01/01/9999
15530,30540,06/23/2007,07/29/2010
15530,40696,07/29/2010,10/02/2013
15530,43239.52,10/02/2013,05/12/2016
15530,45252.73,05/12/2016,01/01/9999
14025,26050,02/12/2009,08/18/2010
14025,37633,08/18/2010,10/12/2013
14025,40176.52,10/12/2013,08/18/2016
14025,42189.73,08/18/2016,01/01/9999
18798,26977,03/26/2005,09/06/2011
18798,36902,09/06/2011,05/28/2013
18798,39445.52,05/28/2013,10/01/2016
18798,41458.73,10/01/2016,01/01/9999
10284,25537,10/08/2005,11/25/2010
10284,37317,11/25/2010,05/08/2013
10284,39860.52,05/08/2013,12/10/2015
10284,41873.73,12/10/2015,01/01/9999
18251,34103,05/11/2005,12/28/2010
18251,38088,12/28/2010,09/21/2013
18251,40631.52,09/21/2013,04/22/2016
18251,42644.73,04/22/2016,01/01/9999
18177,30792,10/23/2003,08/14/2011
18177,38571,08/14/2011,12/13/2012
18177,41114.52,12/13/2012,10/18/2016
18177,43127.73,10/18/2016,01/01/9999
10273,32159,01/09/2009,12/30/2010
10273,38644,12/30/2010,06/12/2013
10273,41187.52,06/12/2013,08/15/2016
10273,43200.73,08/15/2016,01/01/9999
16046,26478,10/10/2006,06/27/2010
16046,39613,06/27/2010,08/15/2013
16046,42156.52,08/15/2013,08/02/2016
16046,44169.73,08/02/2016,01/01/9999
17003,28086,10/07/2005,09/01/2010
17003,40774,09/01/2010,11/18/2012
17003,43317.52,11/18/2012,12/04/2015
17003,45330.73,12/04/2015,01/01/9999
18280,25620,06/30/2008,08/31/2011
18280,38023,08/31/2011,05/26/2013
18280,40566.52,05/26/2013,05/04/2016
18280,42579.73,05/04/2016,01/01/9999
18521,33462,10/10/2003,09/03/2011
18521,39925,09/03/2011,01/23/2013
18521,42468.52,01/23/2013,04/24/2016
18521,44481.73,04/24/2016,01/01/9999
14186,32704,11/30/2008,12/14/2010
14186,38063,12/14/2010,08/20/2013
14186,40606.52,08/20/2013,11/20/2015
14186,42619.73,11/20/2015,01/01/9999
11338,31725,03/12/2007,08/07/2010
11338,36826,08/07/2010,05/20/2013
11338,39369.52,05/20/2013,03/08/2016
11338,41382.73,03/08/2016,01/01/9999
16047,27381,06/02/2004,04/25/2011
16047,37226,04/25/2011,03/18/2013
16047,39769.52,03/18/2013,03/30/2016
