emp_no,title,from_date,to_date
11777,Entry Level Marketing,5/6/2008,4/15/2010
11777,Marketing Strategist,4/15/2010,1/27/2015
11777,Brand Ambassador,1/27/2015,1/1/9999
11892,Entry Level Marketing,7/20/2006,8/26/2009
11892,Marketing Strategist,8/26/2009,5/27/2015
11892,Brand Ambassador,5/27/2015,1/1/9999
11566,Entry Level Marketing,12/7/2008,3/18/2010
11566,Marketing Strategist,3/18/2010,9/17/2014
11566,Brand Ambassador,9/17/2014,1/1/9999
10368,Entry Level Marketing,11/8/2007,2/22/2010
10368,Marketing Strategist,2/22/2010,6/10/2014
10368,Brand Ambassador,6/10/2014,1/1/9999
19735,Entry Level Marketing,8/21/2003,11/29/2009
19735,Marketing Strategist,11/29/2009,6/20/2014
19735,Brand Ambassador,6/20/2014,1/1/9999
16273,Entry Level Marketing,7/7/2006,11/9/2009
16273,Marketing Strategist,11/9/2009,5/5/2015
16273,Brand Ambassador,5/5/2015,1/1/9999
16436,Entry Level Marketing,12/3/2008,10/22/2009
16436,Marketing Strategist,10/22/2009,7/21/2014
16436,Brand Ambassador,7/21/2014,1/1/9999
17559,Entry Level Marketing,2/7/2008,1/31/2010
17559,Marketing Strategist,1/31/2010,6/30/2014
17559,Brand Ambassador,6/30/2014,1/1/9999
13625,Entry Level Marketing,5/17/2003,8/18/2009
13625,Marketing Strategist,8/18/2009,3/27/2015
13625,Brand Ambassador,3/27/2015,1/1/9999
10925,Entry Level Marketing,1/26/2009,6/7/2009
10925,Marketing Strategist,6/7/2009,2/8/2015
10925,Brand Ambassador,2/8/2015,1/1/9999
15530,Entry Level Marketing,6/23/2007,11/29/2009
15530,Marketing Strategist,11/29/2009,5/1/2015
15530,Brand Ambassador,5/1/2015,1/1/9999
14025,Entry Level Marketing,2/12/2009,4/27/2010
14025,Marketing Strategist,4/27/2010,7/3/2015
14025,Brand Ambassador,7/3/2015,1/1/9999
18798,Entry Level Marketing,3/26/2005,6/9/2009
18798,Marketing Strategist,6/9/2009,11/20/2014
18798,Brand Ambassador,11/20/2014,1/1/9999
10284,Entry Level Marketing,10/8/2005,2/8/2010
10284,Marketing Strategist,2/8/2010,8/9/2014
10284,Brand Ambassador,8/9/2014,1/1/9999
18251,Entry Level Marketing,5/11/2005,8/9/2009
18251,Marketing Strategist,8/9/2009,6/8/2014
18251,Brand Ambassador,6/8/2014,1/1/9999
18177,Entry Level Marketing,10/23/2003,4/19/2010
18177,Marketing Strategist,4/19/2010,12/14/2014
18177,Brand Ambassador,12/14/2014,1/1/9999
10273,Entry Level Marketing,1/9/2009,2/20/2010
10273,Marketing Strategist,2/20/2010,6/11/2015
10273,Brand Ambassador,6/11/2015,1/1/9999
16046,Entry Level Marketing,10/10/2006,7/20/2009
16046,Marketing Strategist,7/20/2009,7/10/2014
16046,Brand Ambassador,7/10/2014,1/1/9999
